CpuName,Manufacturer,SingleScore,MultiScore,Cores,Threads,BaseClock,TurboClock,Type,Categories,Price,SubCategories
Core i5 10600KF,Intel,1407,10600,6,12,4.1,4.8,Desktop,Desktop ,175.99,Very Capable for all categories (Gaming)
Core i7 8086K,Intel,1344,10342,6,12,4,5,Desktop,Desktop ,367,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Core i9 9900T,Intel,1233,10337,8,16,2.1,4.4,Desktop,Desktop ,439,Very Capable for all categories 
Core i7 10700T,Intel,1285,10322,8,16,2,4.5,Desktop,Desktop ,413,Very Capable for all categories 
Core i5 11400F,Intel,1346,10235,6,12,2.6,4.4,Desktop,Desktop ,120,Very Capable for all categories (Gaming)
Ryzen 7 2700X,AMD,1102,10140,8,16,3.7,4.3,Desktop,Desktop ,108,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Core i7 5960X,Intel,1089,10117,8,16,3,3.5,Desktop,Desktop ,106,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Ryzen 7 Pro 4750GE,AMD,1288,10105,8,16,3.6,4.4,Desktop,Desktop ,361,Very Capable for all categories (Gaming)
Core i5 11500,Intel,1511,9980,6,12,2.7,4.6,Desktop,Desktop ,208,Very Capable for all categories (Gaming)
Ryzen 5 3600XT,AMD,1330,9945,6,12,3.8,4.2,Desktop,Desktop ,368,Very Capable for all categories (Gaming)
Core i7 6950X,Intel,1094,9918,10,20,3,3.5,Desktop,Workstation ,283,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i5 11400,Intel,1358,9649,6,12,2.6,4.4,Desktop,Desktop ,139.5,Very Capable for all categories (Gaming)
Core i7 9700K,Intel,1293,9605,8,8,3.6,4.9,Desktop,Gaming ,260,Very Capable for all categories (Gaming)
Ryzen 5 3600X,AMD,1323,9526,6,12,3.8,4.2,Desktop,Desktop ,249,Very Capable for all categories (Gaming)
Ryzen 5 4600G,AMD,1227,9401,6,12,3.7,4.2,Desktop,Desktop ,102,Very Capable for all categories (Gaming)
Ryzen 7 1800X,AMD,983,9380,8,16,3.6,4,Desktop,Desktop ,295,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Core i7 11700,Intel,1453,9364,8,16,2.5,4.9,Desktop,Desktop ,195,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Ryzen 5 Pro 4650G,AMD,1267,9356,6,12,3.7,4.2,Desktop,Desktop ,107,Very Capable for all categories (Gaming)
Core i7 9700KF,Intel,1261,9346,8,8,3.6,4.9,Desktop,Gaming ,239,Very Capable for all categories (Gaming)
Core i5 10600,Intel,1298,9076,6,12,3.3,4.8,Desktop,Desktop ,218.21,Very Capable for all categories (Gaming)
Ryzen 5 3600,AMD,1245,9073,6,12,3.6,4.2,Desktop,Desktop ,86,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Ryzen 7 2700,AMD,1067,9005,8,16,3.2,4.1,Desktop,Desktop ,108,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Core i7 8700K,Intel,1227,8990,6,12,3.7,4.7,Desktop,Desktop ,250,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Threadripper 1900X,AMD,1005,8979,8,16,3.8,4,Desktop,Workstation ,140,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
