name,price,type,efficiency,wattage,modular,color
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
EVGA 400 N1,48.99,ATX,,400,false,
ADATA XPG CORE Reactor 850,94.99,ATX,gold,850,Full,Black
Asus ROG THOR P2 Gaming,300.99,ATX,platinum,1000,Full,Silver / Black
NZXT C (2019),89.99,ATX,gold,650,Full,Black
Corsair RM1000x,243.0,ATX,gold,1000,Full,
Deepcool PX1000G,124.99,ATX,gold,1000,Full,Black
Corsair RM850x SHIFT,159.99,ATX,gold,850,Full / Side,Black
Asus ROG THOR P2 Gaming,170.99,ATX,platinum,850,Full,Black / Silver
Logisys PS480D,16.98,ATX,,480,false,
Asus TUF Gaming 850G,129.99,ATX,gold,850,Full,Black
be quiet! System Power 10,141.71,ATX,bronze,650,false,Black
SeaSonic FOCUS GX-850 ATX 3.0,139.99,ATX,gold,850,Full,Black
Apevia Premier,59.99,ATX,gold,650,Semi,Black
Corsair RM1000x SHIFT,187.71,ATX,gold,1000,Full / Side,Black
Deepcool PM750D,82.99,ATX,gold,750,false,Black
be quiet! Dark Power Pro 13,369.9,ATX,titanium,1300,Full,Black
EVGA SuperNOVA 750 P5,99.99,ATX,platinum,750,Full,Black / Teal
Thermaltake Toughpower GF3 TT Premium,289.99,ATX,gold,1650,Full,Black
Thermaltake Toughpower GF3 Snow,234.98,ATX,gold,1200,Full,White
Thermaltake Toughpower GF A3 - TT Premium Edition,104.0,ATX,gold,850,Full,Black
CoolMax I-500,26.68,ATX,,500,false,
MSI MPG A750GF WHITE,254.01,ATX,gold,750,Full,White
EVGA 650 GQ,126.48,ATX,gold,650,Semi,
PowerSpec PS 650BF,54.99,ATX,bronze,650,false,Black
SeaSonic VERTEX GX-1200,217.78,ATX,gold,1200,Full,Black / Silver
be quiet! Pure Power 12 M,99.9,ATX,gold,650,Full,Black
Vetroo GV1000,129.99,ATX,gold,1000,Full,White
PowerSpec PS 750BSM,69.98,ATX,bronze,750,Semi,Black
SeaSonic PRIME TX,663.53,ATX,titanium,1600,Full,Black / Silver
Cooler Master MWE Gold V2 ATX3.0,129.99,ATX,gold,1250,Full,Black
SeaSonic FOCUS Plus Platinum,157.72,ATX,platinum,750,Full,
Thermaltake Toughpower GF3 TT Premium,154.99,ATX,gold,1000,Full,Black
Gigabyte P850GM,129.99,ATX,gold,850,Full,Black
GameMax GX Pro Rampage,109.99,ATX,gold,850,Full,White
Gigabyte P550B,78.98,ATX,bronze,550,false,Black
EVGA 650 B5,84.99,ATX,bronze,650,Full,Black
EVGA 700 BR,74.99,ATX,bronze,700,false,
EVGA SuperNOVA 1000G XC,149.99,ATX,gold,1000,Full,Black
Corsair RM750x (2018),169.97,ATX,gold,750,Full,Black
Super Flower Leadex III Gold,105.62,ATX,gold,750,Full,Black
Thermaltake TR2,57.31,ATX,,500,false,
Montech TITAN GOLD 1000W,137.99,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF1 PE,109.99,ATX,gold,850,Full,Black
SeaSonic S12III,63.99,ATX,bronze,500,false,Black
Corsair RM750x SHIFT,89.99,ATX,gold,750,Full / Side,Black
be quiet! Pure Power 12 M,143.99,ATX,gold,550,Full,Black
Thermaltake Smart BX1,74.98,ATX,bronze,750,false,Black
Asus TUF Gaming 750G,109.99,ATX,gold,750,Full,Black
be quiet! System Power 10,157.31,ATX,bronze,750,false,Black
GameMax GX Pro Rampage,85.99,ATX,gold,850,Full,Black
Deepcool PM850D,87.98,ATX,gold,850,false,Black
Deepcool PQ1000M,135.99,ATX,gold,1000,Full,Black
Corsair RM850x (2018),182.0,ATX,gold,850,Full,Black
ADATA XPG CORE Reactor 650,84.99,ATX,gold,650,Full,Black
MSI MEG Ai1000P PCIE5,251.0,ATX,platinum,1000,Full,Black / Copper
Deepcool PX1000G WH,160.98,ATX,gold,1000,Full,White
SeaSonic FOCUS Plus Platinum,173.99,ATX,platinum,850,Full,
Thermaltake Smart BM3,89.99,ATX,bronze,850,Semi,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,134.99,ATX,gold,1050,Full,Black
SeaSonic FOCUS GX,169.99,ATX,gold,1000,Full,Black
EVGA 850 BQ,99.99,ATX,bronze,850,Semi,
Corsair RM650x (2018),119.99,ATX,gold,650,Full,Black / Silver
SeaSonic G12 GC,109.69,ATX,gold,650,false,Black / Blue
SeaSonic FOCUS GX-750 ATX 3.0,109.99,ATX,gold,750,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,94.99,ATX,gold,750,Full,Black
be quiet! System Power 10,193.92,ATX,gold,850,false,Black
MSI MPG A1000G,299.99,ATX,gold,1000,Full,Black
EVGA GE,156.82,ATX,gold,800,false,Black
be quiet! Dark Power 13,189.9,ATX,titanium,750,Full,Black
Corsair HX1000 Platinum,375.0,ATX,platinum,1000,Full,
Asus ROG Strix,119.99,ATX,gold,750,Full,Black / Red
be quiet! System Power 10,155.34,ATX,bronze,550,false,Black
SeaSonic S12III,69.0,ATX,bronze,650,false,Black
EVGA 750 GQ,103.95,ATX,gold,750,Semi,
ADATA XPG CORE Reactor 750,89.99,ATX,gold,750,Full,Black
Gigabyte UD1000GM PG5 (rev. 2.0),119.99,ATX,gold,1000,Full,Black
SeaSonic VERTEX PX-1200,329.99,ATX,platinum,1200,Full,Black / Silver
Thermaltake Toughpower GF3 TT Premium,104.99,ATX,gold,750,Full,Black
GameMax GX Pro Rampage,159.99,ATX,platinum,1050,Full,White
GameMax RGB Rainbow,99.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1300 GT,249.99,ATX,gold,1300,Full,Black
Asus ROG-STRIX-850G,146.19,ATX,gold,850,Full,Black
SeaSonic VERTEX GX-1000,189.99,ATX,gold,1000,Full,Black / Silver
EVGA SuperNOVA 850 G5,134.99,ATX,gold,850,Full,Black / Green
SeaSonic PRIME TX-1300 ATX 3.0,516.98,ATX,titanium,1300,Full,Black / Silver
Thermaltake Toughpower GF3 TT Premium,114.99,ATX,gold,850,Full,Black
Super Flower Leadex Platinum SE,144.99,ATX,platinum,1000,Full,White
Corsair RM850x,180.94,ATX,gold,850,Full,
be quiet! Straight Power 12,139.9,ATX,platinum,750,Full,Black
SeaSonic FOCUS Plus Gold,159.99,ATX,gold,1000,Full,Black
Asus ROG Strix Aura Edition,208.67,ATX,gold,1000,Full,Black
Corsair AX1200i,657.73,ATX,platinum,1200,Full,
Thermaltake Toughpower GF A3 - TT Premium Edition,153.0,ATX,gold,1200,Full,Black
EVGA 500 GD,101.49,ATX,gold,500,false,Black
EVGA SuperNOVA 850G XC,125.34,ATX,gold,850,Full,Black
Corsair HX1000i,401.0,ATX,platinum,1000,Full,
Corsair RM850,197.88,ATX,gold,850,Full,Black
be quiet! Straight Power 12,249.9,ATX,platinum,1500,Full,Black
Thermaltake Smart BX1 650,59.99,ATX,bronze,650,false,Black
SeaSonic PRIME Ultra Titanium,309.99,ATX,titanium,1000,Full,
SeaSonic FOCUS GX,148.09,ATX,gold,650,Full,Black
SeaSonic FOCUS PX,173.99,ATX,platinum,850,Full,Black
Asus Prime AP-850G,129.99,ATX,gold,850,Full,White / Black
EVGA SuperNOVA 1600 G2,479.0,ATX,gold,1600,Full,
Asus ROG Strix Aura Edition,239.99,ATX,gold,1200,Full,Black
be quiet! Pure Power 12 M,149.9,ATX,gold,1200,Full,Black
EVGA 650 BQ,84.99,ATX,bronze,650,Semi,
FSP Group Hydro GE,89.99,ATX,gold,550,Full,
EVGA SuperNOVA 1000 G5,159.99,ATX,gold,1000,Full,Black / Green
EVGA 600 BQ,149.99,ATX,bronze,600,Semi,
Corsair RM650 (2019),210.09,ATX,gold,650,Full,Black
Silverstone HELA 1200R,234.84,ATX,platinum,1200,Full,Black
Corsair HX1500i (2022),367.0,ATX,platinum,1500,Full,Black
EVGA SuperNOVA 1000 G+,341.99,ATX,gold,1000,Full,Black
PowerSpec PS 650GSM,74.98,ATX,gold,650,Semi,Black
EVGA SuperNOVA 750 G3,250.0,ATX,gold,750,Full,
EVGA 850 B5,110.09,ATX,bronze,850,Full,Black
Corsair HX850 Platinum,359.99,ATX,platinum,850,Full,
SeaSonic VERTEX PX-1000,279.99,ATX,platinum,1000,Full,Black / Silver
Thermaltake TR2,49.99,ATX,bronze,450,false,
be quiet! Straight Power 11 750W,161.43,ATX,gold,750,Full,
Corsair CX650M,199.99,ATX,bronze,650,Semi,
Fractal Design Ion Gold,121.93,ATX,gold,550,Full,Black
Corsair RM750,195.99,ATX,gold,750,Full,Black
Apevia Signature,68.98,ATX,bronze,1050,Semi,Black
EVGA 750 B5,99.99,ATX,bronze,750,Full,Black
Azza PSAZ-650W,59.99,ATX,bronze,650,false,Black
EVGA 550 BP,64.98,ATX,bronze,550,false,Black
Aerocool LUX RGB 750M (230V EU),173.22,ATX,bronze,750,Semi,Black
Asus ROG THOR 850P,349.99,ATX,platinum,850,Full,Black / Red
Super Flower Leadex Platinum SE,159.99,ATX,platinum,1200,Full,Black
EVGA 750 N1,77.26,ATX,,750,false,
Super Flower Leadex III Gold,119.99,ATX,gold,850,Full,Black
Corsair AX1500i,749.0,ATX,titanium,1500,Full,
SeaSonic PRIME TX-1600 ATX 3.0,596.83,ATX,titanium,1600,Full,Black / Silver
SeaSonic PRIME TX,439.99,ATX,titanium,1300,Full,Black / Silver
EVGA 850 GQ,186.17,ATX,gold,850,Semi,
be quiet! Pure Power 9 CM,153.84,ATX,bronze,600,Semi,Black
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black
Corsair CX650 (2017),148.97,ATX,bronze,650,false,
G.Skill MB750G,84.99,ATX,gold,750,Full,Black
SeaSonic FOCUS,155.41,ATX,gold,850,Semi,Black
Corsair CX450M (2015),136.77,ATX,bronze,450,Semi,
EVGA 650 N1,66.8,ATX,,650,false,
Cooler Master Elite 400 V3,63.49,ATX,plus,400,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,90.99,ATX,gold,650,Full,Black
Thermaltake Toughpower GX3,89.99,ATX,gold,850,false,Black
CoolMax ZX-500,39.99,ATX,plus,500,false,
Asus ROG THOR P2 Gaming EVA Edition,596.0,ATX,platinum,1000,Full,Black / Silver
be quiet! System Power 9 CM,157.81,ATX,bronze,400,Semi,Black
Corsair CX550M,192.0,ATX,bronze,550,Semi,
SeaSonic PRIME PX-1600 ATX 3.0,469.99,ATX,platinum,1600,Full,Black / Silver
Corsair CX750 (2017),94.99,ATX,bronze,750,false,
be quiet! Pure Power 11 600,127.29,ATX,gold,600,false,Black
Silverstone Essential,65.64,ATX,gold,550,false,Black / Yellow
Super Flower Leadex Platinum SE,139.99,ATX,platinum,1000,Full,Black
SeaSonic FOCUS Gold,79.98,ATX,gold,550,Semi,
Corsair HX1200i,599.0,ATX,platinum,1200,Full,
Corsair CX600,237.48,ATX,bronze,600,false,
EVGA SuperNOVA 650 G3,172.49,ATX,gold,650,Full,
Fractal Design Ion Gold,238.55,ATX,gold,850,Full,Black
Corsair TX550M Gold,237.47,ATX,gold,550,Semi,
NZXT C650,89.53,ATX,bronze,650,Semi,Black
EVGA SuperNOVA 650 G5,109.99,ATX,gold,650,Full,Black / Green
Thermaltake Thermaltake TP-750M,79.98,ATX,gold,750,Semi,
Corsair CX500M,180.76,ATX,bronze,500,Semi,
be quiet! Pure Power 11,84.32,ATX,gold,500,false,Black
Corsair RM750x White (2018),220.0,ATX,gold,750,Full,White / Black
Corsair HX750 Platinum,298.91,ATX,platinum,750,Full,
ADATA XPG FUSION 1600,699.99,ATX,titanium,1600,Full,Black / Silver
Silverstone ET500-ARGB,88.64,ATX,bronze,500,false,Black
Corsair RM550x (2018),216.0,ATX,gold,550,Full,Black / Silver
Corsair CXM,162.46,ATX,bronze,750,Semi,
Corsair RM850x White,336.24,ATX,gold,850,Full,White / Black
EVGA SuperNOVA 1300 G+,269.98,ATX,gold,1300,Full,Black
Asus TUF Gaming B,69.15,ATX,bronze,550,false,Black
Super Flower Leadex Titanium,204.98,ATX,titanium,1000,Full,Black
Corsair VS500 (2020),111.02,ATX,bronze,500,false,Black
Thermaltake Toughpower GX1,85.8,ATX,gold,600,false,Black
Thermaltake Toughpower GF3 TT Premium,197.96,ATX,gold,1350,Full,Black
EVGA SuperNOVA 750 G5,149.16,ATX,gold,750,Full,Black / Green
EVGA GE,79.98,ATX,gold,600,false,Black
Deepcool PX850G WH,129.99,ATX,gold,850,Full,White
Logisys PS480D2,16.98,ATX,,480,false,
Corsair HX850i,396.0,ATX,platinum,850,Full,
GameMax RGB Rainbow,89.99,ATX,gold,750,Full,Black
Azza PSAZ-550W,54.99,ATX,bronze,550,false,Black
be quiet! Straight Power 11 850W,267.12,ATX,gold,850,Full,
Montech TITAN GOLD 1200W,164.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA 850 G6,209.31,ATX,gold,850,Full,Black
Corsair CX650F,199.97,ATX,bronze,650,Full,Black
Corsair RM750x,170.0,ATX,gold,750,Full,
Super Flower LEADEX VII XG,188.98,ATX,gold,1000,Full,Black
EVGA SuperNOVA 1000 P3,214.99,ATX,platinum,1000,Full,Black / Silver
Super Flower LEADEX VII XG,189.99,ATX,gold,1300,Full,Black
Montech CENTURY G5,89.0,ATX,gold,750,Full,Black
Super Flower LEADEX VII XG,144.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF3 TT Premium,199.99,ATX,gold,1200,Full,Black
Silverstone DA750 Gold,133.37,ATX,gold,750,Full,Black / White
Thermaltake Smart RGB 230V,141.0,ATX,plus,500,false,Black
Corsair HX1200i,319.99,ATX,platinum,1200,Full,Black
Cooler Master MasterWatt,117.39,ATX,bronze,650,Semi,
Corsair RM750,220.03,ATX,gold,750,Full,
Deepcool DQ750-M-V2L,161.77,ATX,gold,750,Full,Black / Green
Cooler Master XG850 Plus,154.75,ATX,platinum,850,Full,Black
EVGA 1000 GQ,139.99,ATX,gold,1000,Semi,
FSP Group Hydro G Pro,179.51,ATX,gold,1000,Full,Black
Raidmax RX-530SS,49.99,ATX,,530,Semi,
be quiet! System Power 9 700 CM,177.05,ATX,bronze,700,Semi,Black
Super Flower Leadex Titanium,319.99,ATX,titanium,1600,Full,Black
Corsair CX750M V2 (2017 Edition),209.0,ATX,bronze,750,Semi,Black / White
Corsair CX450 (2017),113.98,ATX,bronze,450,false,
Deepcool PX1200G,178.3,ATX,gold,1200,Full,Black
SeaSonic G12 GM,155.41,ATX,gold,850,Semi,Black / Blue
Cooler Master MasterWatt 550,88.83,ATX,bronze,550,Semi,
Corsair RM850 (2019),189.53,ATX,gold,850,Full,Black
Super Flower Leadex III Gold,125.99,ATX,gold,550,Full,Black
Antec CSK,100.58,ATX,bronze,750,Semi,Black / Yellow
Xilence XP500R6,89.41,ATX,,500,false,Black / Red
SeaSonic PRIME PX-1300,408.47,ATX,platinum,1300,Full,Black
Super Flower Leadex III ARGB,134.99,ATX,gold,750,Full,White
Corsair RM650,204.99,ATX,gold,650,Full,Black
Corsair CX750F,220.03,ATX,bronze,750,Full,White / Black
Apevia Prestige,74.98,ATX,gold,1000,false,Black
ADATA XPG Core Reactor II,99.99,ATX,gold,850,Full,Black
KOLINK Regulator,109.99,ATX,gold,750,Full,Black
EVGA 750 BQ,138.72,ATX,bronze,750,Semi,
EVGA SuperNOVA 1000 G7,239.99,ATX,gold,1000,Full,Black / Blue
EVGA SuperNOVA 1600 P+,479.99,ATX,platinum,1600,Full,Black
EVGA SuperNOVA 1600 G+,269.99,ATX,gold,1600,Full,Black
Thermaltake Toughpower GF1 PE,122.45,ATX,gold,750,Full,Black
Corsair RM850x (2018),342.93,ATX,gold,850,Full,White / Black
EVGA 700 BQ,75.56,ATX,bronze,700,Semi,Black
EVGA 650BP,74.99,ATX,bronze,650,false,Black
EVGA 750 BP,79.99,ATX,bronze,750,false,Black
Asus ROG Strix Aura Edition,178.5,ATX,gold,850,Full,Black
Corsair Vengeance 750M,94.99,ATX,silver,750,Semi,
Super Flower Leadex Titanium,174.99,ATX,titanium,850,Full,Black
Corsair RM1000e (2022),229.94,ATX,gold,1000,Full,Black
be quiet! System Power 9,114.18,ATX,bronze,600,false,Black
SeaSonic PRIME TX-750,310.29,ATX,titanium,750,Full,Black
SeaSonic VERTEX GX-850,159.99,ATX,gold,850,Full,Black / Silver
Thermaltake Toughpower PF3-L,194.99,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 650 GA,129.71,ATX,gold,650,Full,Black
Cooler Master MWE Gold V2 ATX3.0,148.99,ATX,gold,1050,Full,Black
EVGA SuperNOVA 750 G6,134.4,ATX,gold,750,Full,Black
EVGA SuperNOVA 750 GA,189.99,ATX,gold,750,Full,Black
FSP Group Hydro GE,89.99,ATX,gold,650,Full,
Fractal Design Ion Gold,202.17,ATX,gold,750,Full,Black
Cooler Master MWE Bronze,88.99,ATX,bronze,500,false,Black
Corsair CX750F,220.0,ATX,bronze,750,Full,Black
SeaSonic G12 GC,97.49,ATX,gold,550,false,Black / Blue
SeaSonic PRIME TX-850,357.69,ATX,titanium,850,Full,Black
GameMax RGB,159.99,ATX,platinum,1300,Full,Black
Raidmax RX-730SS,57.99,ATX,,730,Semi,
Corsair HX1000i (2022),275.0,ATX,platinum,1000,Full,Black
Asus TUF Gaming 1200G,202.88,ATX,gold,1200,Full,Black
EVGA SuperNOVA 1200 P3,279.99,ATX,platinum,1200,Full,Black / Silver
Thermaltake TR2 S,99.26,ATX,plus,600,false,Black
SeaSonic G12 GM,139.94,ATX,gold,650,Semi,Black / Blue
Corsair TX650M Gold,246.97,ATX,gold,650,Semi,
Gigabyte UD850GM PG5 (rev. 2.0),164.9,ATX,gold,850,Full,Black
Deepcool PM650D,79.99,ATX,gold,650,false,Black
Gigabyte UD1300GM PG5,189.31,ATX,gold,1300,Full,Black
Super Flower Leadex Platinum,114.99,ATX,platinum,850,Full,Black
EVGA 550 B5,94.98,ATX,bronze,550,Full,Black
SeaSonic Prime Fanless PX-500,282.77,ATX,platinum,500,Full,Black
Antec Signature,246.63,ATX,titanium,1000,Full,Black / Silver
Antec NeoECO Gold,152.16,ATX,gold,850,Full,
Thermaltake Toughpower GF1 PE,114.98,ATX,gold,650,Full,
be quiet! Straight Power 11 550W,109.9,ATX,gold,550,Full,
EVGA SuperNOVA 650 P5,119.99,ATX,platinum,650,Full,Black / Teal
Super Flower Leadex III Gold,125.99,ATX,gold,650,Full,Black
Super Flower Leadex V Pro,177.98,ATX,platinum,1000,Full,White
Corsair RM850e (2022),176.9,ATX,gold,850,Full,Black
Thermaltake Toughpower TF1 - TT Premium,499.99,ATX,titanium,1550,Full,Black
Antec NE1000G M ATX3.0,144.99,ATX,gold,1000,Full,Black
SeaSonic G12 GM,136.52,ATX,gold,550,Semi,Black / Blue
EVGA SuperNOVA 1000 G3,386.02,ATX,gold,1000,Full,
SeaSonic PRIME 1300 Gold,288.99,ATX,gold,1300,Full,Black
Silverstone HELA 850R,223.99,ATX,platinum,850,Full,Black / Silver
SeaSonic FOCUS,169.98,ATX,platinum,750,Full,Black
EVGA SuperNOVA 1200 P2,499.99,ATX,platinum,1200,Full,
Corsair RM750e (2022),153.0,ATX,gold,750,Full,Black
NZXT E850,119.99,ATX,gold,850,Full,Black
Cougar VTE,77.34,ATX,bronze,600,false,Black
Azza PSAZ-750W,69.99,ATX,bronze,750,false,Black
