name,price,type,efficiency,wattage,modular,color
EVGA SuperNOVA 750 P2,249.99,ATX,platinum,750,Full,
Gigabyte AORUS P GM,146.79,ATX,gold,750,Full,Black / Silver
EVGA SuperNOVA 850 P2,322.67,ATX,platinum,850,Full,
Thermaltake Toughpower Grand RGB,176.54,ATX,gold,850,Full,
Antec NeoECO Gold,143.63,ATX,gold,750,Full,
Silverstone DA750R-GMA,221.97,ATX,gold,750,Full,White
CoolMax V-400,35.71,ATX,,400,false,
EVGA GE,93.53,ATX,gold,700,false,Black
Silverstone Strider Titanium,359.99,ATX,titanium,1300,Full,Black / Blue
MSI MPG A750G PCIE5,139.99,ATX,gold,750,Full,Black
EVGA SuperNOVA 750 G7,119.99,ATX,gold,750,Full,Black / Blue
SeaSonic PRIME PX,459.0,ATX,platinum,1000,Full,Black / Silver
EVGA SuperNOVA 1600 P2,399.99,ATX,platinum,1600,Full,
Vetroo GV1000,129.99,ATX,gold,1000,Full,Black
Cooler Master MasterWatt,98.99,ATX,bronze,750,Semi,Black
Thermaltake Toughpower Grand RGB,144.98,ATX,gold,750,Full,
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black
Razer Katana Chroma,209.99,ATX,platinum,850,Full,Black
Corsair RM650,221.09,ATX,gold,650,Full,
Antec CSK,76.17,ATX,bronze,650,false,Black / Yellow
Silverstone Strider,103.69,ATX,gold,550,Full,
SHARKOON SilentStorm Cool Zero 650,116.96,ATX,gold,650,Full,Black
EVGA SuperNOVA 650 P6,139.99,ATX,platinum,650,Full,Black / Silver
Xilence XP600R6,78.69,ATX,,600,false,Black / Red
be quiet! Straight Power 11,161.43,ATX,platinum,750,Full,Black
Asus ROG Strix Aura Edition,164.99,ATX,gold,750,Full,Black
Corsair RM1000,400.75,ATX,gold,1000,Full,
Silverstone Strider Platinum,138.65,ATX,platinum,550,Full,
MSI MAG A1000GL PCIE5,174.0,ATX,gold,1000,Full,Black
Corsair RM550x,229.97,ATX,gold,550,Full,
Gigabyte UD-GM PG5,195.45,ATX,gold,750,Full,Black
GAMDIAS KRATOS M1 B,79.98,ATX,bronze,750,false,Black
Corsair CS750M,216.99,ATX,gold,750,Semi,
SHARKOON SilentStorm Cool Zero 750,171.59,ATX,gold,750,Full,Black
EVGA SuperNOVA 650 G6,116.92,ATX,gold,650,Full,Black
Cooler Master MWE Bronze V2,133.94,ATX,bronze,700,false,Black
EVGA SuperNOVA 650 P2,215.73,ATX,platinum,650,Full,
"FSP Group Hydro PTM X PRO,Gen5",169.97,ATX,platinum,850,Full,Black
Enermax Revolution D.F. X,109.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 G7,99.99,ATX,gold,650,Full,Black / Blue
Xilence XP400R6,78.34,ATX,,400,false,Black / Red
Enermax MAXREVO SLI,149.94,ATX,gold,1350,Full,Black / Gold
Cooler Master V850 Gold i,162.43,ATX,gold,850,Full,Black / Gold
SeaSonic PRIME PX,184.99,ATX,platinum,750,Full,Black / Silver
Antec VP PLUS,128.97,ATX,plus,700,false,Black
be quiet! Dark Power 12,289.14,ATX,titanium,750,Full,Black
ADATA XPG Core Reactor II,94.99,ATX,gold,750,Full,Black
Corsair TX650,244.99,ATX,plus,650,false,
Cooler Master V650,138.65,ATX,gold,650,Full,
Thermaltake Toughpower GF1 Snow - TT Premium,170.0,ATX,gold,750,Full,White
Corsair RM750x White,379.98,ATX,gold,750,Full,White / Black
Super Flower Leadex III ARGB,144.99,ATX,gold,850,Full,White
ADATA XPG Core Reactor II,87.99,ATX,gold,650,Full,Black
Deepcool PX1300P,289.99,ATX,platinum,1300,Full,Black / Silver
EVGA SuperNOVA G FTW,154.99,ATX,gold,1000,Full,Black
NZXT C (2019),109.98,ATX,gold,750,Full,Black
Silverstone Essential,61.74,ATX,bronze,550,false,Black
Corsair RM650x,203.4,ATX,gold,650,Full,
Cougar GEX,111.99,ATX,gold,850,Full,Black
SeaSonic PRIME,195.98,ATX,gold,850,Full,Black
Corsair AX850,319.99,ATX,gold,850,Full,
Thermaltake Toughpower Grand RGB,124.98,ATX,gold,650,Full,
Antec NE850G M ATX3.0,139.99,ATX,gold,850,Full,Black
NOX Hummer,83.87,ATX,bronze,650,Semi,
SeaSonic FOCUS,79.99,ATX,gold,550,Semi,Black
Thermaltake Toughpower GX1,84.47,ATX,gold,600,Semi,Black
Silverstone Strider Platinum S,269.83,ATX,platinum,1200,Full,Black
Silverstone Essential,92.99,ATX,gold,750,Semi,Black / Blue
NZXT C (2019),149.98,ATX,gold,850,Full,Black
Thermaltake Smart Pro RGB,124.23,ATX,bronze,750,Full,
Thermaltake Toughpower PF3-L,179.99,ATX,platinum,1050,Full,Black
Cougar POLAR,161.49,ATX,platinum,1050,Full,White
Corsair TX850,499.97,ATX,plus,850,false,
Antec NE1300G M ATX3.0,184.99,ATX,gold,1300,Full,Black
Fractal Design Ion+ 2 Platinum,194.49,ATX,platinum,560,Full,Black
Thermaltake TOUGHPOWER PF1 ARGB,396.96,ATX,platinum,1050,Full,
SeaSonic S12III,129.0,ATX,bronze,550,false,Black
SeaSonic S12II,247.77,ATX,bronze,520,false,
Enermax Revolution D.F.,109.99,ATX,gold,750,Full,Black / Silver
SeaSonic G,139.01,ATX,gold,450,Semi,
Gigabyte UD1000GM PG5,178.79,ATX,gold,1000,Full,Black
Thermaltake Smart Pro RGB,119.83,ATX,bronze,850,Full,
Corsair RM850x SHIFT,169.99,ATX,gold,850,Full / Side,White
FSP Group FSP300-60LG,148.02,Mini ITX,bronze,300,false,
SeaSonic VERTEX GX-750,131.82,ATX,gold,750,Full,Black / Silver
SeaSonic PRIME,263.79,ATX,gold,1000,Full,Black
Silverstone DA850R-GMA,258.29,ATX,gold,850,Full,White
"FSP Group Hydro PTM X PRO,Gen5",251.03,ATX,platinum,1200,Full,Black
ADATA XPG CYBERCORE,209.99,ATX,platinum,1300,Full,Black / Silver
Antec Signature Platinum,284.99,ATX,platinum,1300,Full,Black
Deepcool DQ-M-V2L,158.38,ATX,gold,850,Full,Black / Green
Corsair HX750,273.99,ATX,gold,750,Semi,
Corsair RM750x SHIFT,129.99,ATX,gold,750,Full / Side,White
SeaSonic PRIME PX,307.19,ATX,platinum,850,Full,Black / Silver
Super Flower Leadex V Platinum Pro,189.99,ATX,platinum,850,Full,White
Silverstone Strider Titanium,338.99,ATX,titanium,1100,Full,Black / Blue
ADATA XPG CYBERCORE,189.99,ATX,platinum,1000,Full,Black / Silver
Cooler Master MWE,90.81,ATX,bronze,600,false,Black
Azza ARGB,64.98,ATX,bronze,650,false,Black
FSP Group Hydro PTM PRO,149.99,ATX,platinum,750,Full,Black
be quiet! Pure Power 11 FM 850,299.89,ATX,gold,850,Full,Black
Chieftec ATMOS,162.88,ATX,gold,750,Full,Black
Thermaltake Smart SE,110.0,ATX,,530,Semi,Black
NOX Hummer GD,108.22,ATX,gold,750,false,
Deepcool PQ650M,128.98,ATX,gold,650,Full,Black
Logisys PS550E12BK,39.99,ATX,,550,false,
Antec EARTHWATTS GOLD PRO 750,149.99,ATX,gold,750,Semi,Black
Cooler Master XG650 Plus,96.91,ATX,platinum,650,Full,Black
Sparkle FSP300-60ATV,59.99,ATX,,300,false,
Super Flower Leadex Platinum,279.99,ATX,platinum,1600,Full,Black
Silverstone DA850R-GMA,243.34,ATX,gold,850,Full,Black
be quiet! Straight Power 11 450W,235.0,ATX,gold,450,Full,
SeaSonic VERTEX PX-750,199.99,ATX,platinum,750,Full,Black / Silver
SHARKOON SilentStorm Cool Zero 850,259.42,ATX,gold,850,Full,Black
Cooler Master MWE Bronze 550,143.91,ATX,bronze,550,false,Black
Thermaltake Smart SE,118.32,ATX,,630,Semi,
Fractal Design Ion Gold,163.08,ATX,gold,650,Full,Black
Corsair RM550,224.99,ATX,gold,550,Full,
"FSP Group Hydro PTM PRO,Gen5",265.99,ATX,platinum,1200,Full,Black
Silverstone Strider Platinum,164.99,ATX,platinum,850,Full,
SeaSonic FOCUS Gold,139.34,ATX,gold,650,Semi,
Thermaltake Smart BX1 RGB 750,104.94,ATX,bronze,750,false,Black
Super Flower LEADEX VII XG,184.99,ATX,gold,1000,Full,White
SeaSonic PRIME Titanium,599.0,ATX,titanium,1000,Full,
Corsair CS450M,237.47,ATX,gold,450,Semi,
EVGA 700 B1,217.49,ATX,bronze,700,false,
Cougar GEX,124.34,ATX,gold,650,Full,Black
Antec High Current Gamer,155.31,ATX,bronze,620,Semi,
Super Flower LEADEX VII Platinum PRO,269.99,ATX,platinum,1200,Full,Black
SeaSonic PRIME Ultra Platinum 750,179.99,ATX,platinum,750,Full,Black
Silverstone Strider Platinum,132.99,ATX,platinum,650,Full,
Cougar GEX,209.4,ATX,gold,1050,Full,Black
Super Flower Leadex VI Platinum PRO,156.98,ATX,platinum,1000,Full,Black / Blue
CoolMax V-500,32.77,ATX,,500,false,
Super Flower LEADEX VII Platinum PRO,229.99,ATX,platinum,1000,Full,Black
SeaSonic PRIME,230.99,ATX,gold,750,Full,Black
Corsair HX1000,479.99,ATX,plus,1000,Semi,
Fractal Design Anode Bronze,135.36,ATX,bronze,750,Semi,Black
Corsair TX850M,499.98,ATX,bronze,850,Semi,
Enermax Revolution D.F. X,129.99,ATX,gold,1050,Full,Black
Thermaltake Toughpower GF1 ARGB,119.83,ATX,gold,650,Full,
Deepcool PX1000P,229.99,ATX,platinum,1000,Full,Black / Silver
Cooler Master V1200,306.89,ATX,platinum,1200,Full,
Corsair HX750,499.97,ATX,gold,750,Semi,
Enermax Revolution D.F. X,144.99,ATX,gold,1200,Full,Black
SeaSonic FOCUS Plus Platinum,164.39,ATX,platinum,650,Full,
Silverstone DA750R-GMA,213.06,ATX,gold,750,Full,Black
KOLINK Regulator,169.99,ATX,gold,1200,Full,Black
Thermaltake Toughpower PF3-L,172.82,ATX,platinum,850,Full,Black
Thermaltake Toughpower GF2 ARGB,142.99,ATX,gold,750,Full,Black
Chieftec ATMOS,171.09,ATX,gold,850,Full,Black
BitFenix BFG GOLD ATX3.0,99.9,ATX,gold,850,Full,Black
FSP Group Hydro PTM PRO,179.99,ATX,platinum,1000,Full,Black
Thermaltake Toughpower PF1 - TT Premium Edition,157.48,ATX,platinum,650,Full,
Corsair GS700,299.98,ATX,bronze,700,false,
KOLINK Regulator,149.99,ATX,gold,1000,Full,Black
Silverstone Essential,98.99,ATX,gold,750,false,Black / Yellow
Silverstone Strider Platinum,132.99,ATX,platinum,750,Full,
Silverstone ST75F-GS-V3,112.2,ATX,gold,750,Full,Black
Cooler Master V1300 Platinum,399.9,ATX,platinum,1300,Full,Black
Silverstone Strider,286.99,ATX,silver,1500,false,
Phanteks Revolt Pro,380.0,ATX,gold,850,Full,Silver / Black
Silverstone Essential,119.99,ATX,gold,650,false,Black
Corsair TX650M,299.98,ATX,bronze,650,Semi,
Silverstone Strider,99.99,ATX,bronze,700,Full,
Corsair TX550M,216.57,ATX,bronze,550,Semi,
Corsair VS500,269.0,ATX,plus,500,false,
Corsair TX850 V2,599.98,ATX,bronze,850,false,
Thermaltake Smart BX1 RGB 550,68.79,ATX,bronze,550,false,Black
Thermaltake Smart BX1 RGB 650,93.36,ATX,bronze,650,false,Black
Xilence XP750MR9,131.88,ATX,gold,750,Semi,Black / Red
ADATA XPG Core Reactor II,159.99,ATX,gold,1200,Full,Black
Silverstone Essential,88.98,ATX,gold,550,Semi,Black
Thermaltake Toughpower GF1 - TT Premium,210.06,ATX,gold,1200,Full,Black
Gigabyte UD-GM PG5,164.9,ATX,gold,850,Full,Black
Xilence XP550R9,134.0,ATX,gold,550,false,Black / Red
Thermaltake Toughpower GF1 ARGB,142.51,ATX,gold,750,Full,
Thermaltake Toughpower GF2 ARGB,126.35,ATX,gold,650,Full,Black
Enermax Platimax D.F.,149.99,ATX,platinum,1050,Full,Black
Cougar COUGAR-GX1050,129.99,ATX,gold,1050,Semi,
Corsair VX550,246.28,ATX,plus,550,false,
Xilence XP1050MR9,209.69,ATX,gold,1050,Full,Black / Red
FSP Group Hydro PTM PRO,179.99,ATX,platinum,850,Full,Black
Corsair VS400,369.0,ATX,plus,400,false,
SeaSonic PRIME Ultra Gold 1000,379.99,ATX,gold,1000,Full,Black
Solid Gear SDGR-750E,63.81,ATX,,750,false,
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full,White
Antec Signature Platinum,206.53,ATX,platinum,1000,Full,Black
RAIJINTEK CRATOS,94.9,ATX,gold,850,Full,Black
Antec Earthwatts Green,108.11,ATX,plus,500,false,
Corsair G700,323.97,ATX,plus,700,false,
Thermaltake TOUGHPOWER PF1 ARGB,251.99,ATX,platinum,850,Full,
SeaSonic PRIME Ultra Gold 750,169.99,ATX,gold,750,Full,Black
Corsair TX750 V2,335.0,ATX,bronze,750,false,
Corsair AX650,250.0,ATX,gold,650,Full,
Thermaltake Toughpower GX1 500,74.45,ATX,gold,500,false,Black
Thermaltake Toughpower iRGB PLUS 750,189.19,ATX,gold,750,Full,Black
Corsair G800,319.89,ATX,plus,800,false,
EVGA SuperNOVA G FTW,154.99,ATX,gold,850,Full,Black
In Win P75,129.94,ATX,gold,750,Full,Black
EVGA SuperNOVA 750 PQ,218.49,ATX,platinum,750,Semi,Black
SeaSonic PRIME Ultra Gold 850,195.98,ATX,gold,850,Full,Black
SeaSonic SS-300ES Bronze,104.44,ATX,bronze,300,false,
Super Flower Leadex V Platinum Pro,209.99,ATX,platinum,1000,Full,White
Silverstone ST85F-GS-V2,128.33,ATX,gold,850,Full,
Rosewill VALENS-600,140.0,ATX,gold,600,false,
Super Flower Leadex V Pro,189.99,ATX,gold,1000,Full,Black / Gold
PC Power & Cooling Silencer,210.62,ATX,platinum,1050,Full,
In Win PB,150.0,ATX,gold,750,Full,
In Win P65,124.0,ATX,gold,650,Full,Black
In Win P130II,245.2,ATX,platinum,1300,Full,Black
Thermaltake Smart,196.8,ATX,bronze,750,Semi,
Super Flower LEADEX VII Platinum PRO,199.99,ATX,platinum,850,Full,Black
In Win P105II,185.07,ATX,platinum,1050,Full,Black
Antec True Power,230.81,ATX,bronze,850,Full,
Antec Basiq,79.98,ATX,,350,false,
Thermaltake Toughpower PF1 - TT Premium Edition,314.79,ATX,platinum,1050,Full,Black
Thermaltake Toughpower iRGB PLUS 850,285.0,ATX,gold,850,Full,Black
Thermaltake Toughpower Grand RGB Platinum,289.95,ATX,platinum,850,Full,Black
Thermaltake TOUGHPOWER PF1 ARGB,419.64,ATX,platinum,1200,Full,
Sparkle ATX-350PN-B204,57.99,ATX,,350,false,
Super Flower Leadex Gold,299.99,ATX,gold,1300,Full,
Super Flower Leadex VI Platinum PRO,179.99,ATX,platinum,850,Full,Black / Blue
Thermaltake Toughpower GF2 ARGB,199.22,ATX,gold,850,Full,Black
Super Flower Leadex III ARGB Pro,164.99,ATX,gold,750,Full,Black
In Win P85,144.18,ATX,gold,850,Full,Black
Rosewill Green,80.0,ATX,plus,430,false,
Rosewill PMG750,120.0,ATX,gold,750,Full,Black
Cougar VTE X2,74.99,ATX,plus,750,false,Black
Thermaltake Toughpower iRGB PLUS,567.09,ATX,titanium,1250,Full,
Chieftec Polaris,209.39,ATX,gold,1050,Full,Black
Rosewill Capstone,269.0,ATX,gold,750,false,
Cougar GEX X2,211.61,ATX,gold,1000,Full,Black
YEYIAN Raiden RGB,69.98,ATX,bronze,650,false,Black
SeaSonic PRIME Ultra Platinum 850,359.99,ATX,platinum,850,Full,Black
Enermax MaxTytan,299.99,ATX,titanium,1050,Full,
EVGA SuperNOVA 850 GA,350.0,ATX,gold,850,Full,
Fractal Design Anode Bronze,146.68,ATX,bronze,550,Semi,Black
PC Power & Cooling Silencer,298.98,ATX,platinum,1200,Full,
Antec Earthwatts Green,104.64,ATX,bronze,430,false,
Chieftec Polaris 3.0,229.29,ATX,gold,1050,Full,Black
Thermaltake Toughpower DPS G RGB,425.31,ATX,titanium,1250,Full,
SeaSonic SS-850HT Silver,169.0,ATX,silver,850,false,
SeaSonic SS-400ET Bronze,91.33,ATX,bronze,400,false,
Kingwin ABT-1050MM,89.99,ATX,,1050,false,
Rosewill Green,170.0,ATX,plus,530,false,
FSP Group Hydro GE,99.99,ATX,gold,650,Full,Black
Antec Earthwatts,124.98,ATX,bronze,500,false,
Sparkle ATX-300PA,187.99,ATX,,300,false,
Super Flower Leadex III ARGB Pro,189.99,ATX,gold,650,Full,Black
Thermaltake Toughpower iRGB PLUS 850 Platinum,328.91,ATX,platinum,850,Full,Black
LEPA MaxBron,102.15,ATX,bronze,1000,Semi,
SeaSonic SS-600ES,102.15,ATX,bronze,600,false,Gray
Enermax Revolution D.F. X,249.99,ATX,gold,1350,Full,Black
Super Flower Leadex V Pro,199.99,ATX,gold,850,Full,Black
SeaSonic Platinum,128.01,ATX,bronze,600,false,
iStarUSA TC-1200PD8G,310.99,ATX,,1200,Full,Gray
Apex AL-A400ATX,94.41,ATX,,400,false,
Chieftec Polaris 3.0,199.29,ATX,gold,850,Full,Black
Enermax PlatiGemini,249.99,ATX,platinum,1200,Full,Black
