name,price,rpm,noise_level,color,size
Thermaltake TOUGHLIQUID Ultra,199.99,"500,2000",33.2,Black,280.0
Alphacool Eisbaer Extreme,245.4,1000,18.8,Black,280.0
Iceberg Thermal IceFLOE OASIS 240,74.98,"200,2200",28.9,Black,240.0
ENDORFY Navis F360 ARGB,179.31,"250,1800",,Black,360.0
GAMDIAS CHIONE M3,84.99,"800,2000",,White,240.0
Alphacool Eisbaer 280,128.1,1100,29.4,Black / Blue,280.0
Alphacool Eisbaer Aurora 240,134.95,"800,2000",,Black,240.0
Alphacool Eisbaer LT360,124.75,"550,1700",29,Black,360.0
Cougar Helor 240,124.0,"600,1800",37.1,Black,240.0
Alpenföhn Glacier Water 360 High Speed,253.85,"500,2200",36.8,Black,360.0
Cougar Helor 360,229.3,"600,1800",37.1,Black,360.0
Thermaltake Floe DX RGB TT Premium Edition B,133.88,"500,1500","19,23.9",Black,240.0
Enermax AQUAFUSION ADV,77.99,"500,2000","17,32.6",White,120.0
Enermax AQUAFUSION ADV 120,77.99,"500,2000","15,32.6",Black,120.0
Asus ROG RYUO 120 RGB,239.0,"800,2500",37,Black,120.0
RAIJINTEK Orcus 140 RGW,91.93,"400,1800",28,Black,140.0
Silverstone IceMyst 280,122.99,"400,1750","13.3,30.8",Silver / Black,280.0
Silverstone IceGem 240P,60.55,"600,2200","7.3,36.6",Black,240.0
RAIJINTEK EOS 240 RBW,59.99,"800,1800",28,Black,240.0
Alpenföhn Glacier Water High Speed 240,182.79,"500,2200",36.8,White,240.0
Thermaltake TOUGHLIQUID ARGB,119.99,"500,2000",22.3,Black,240.0
BitFenix Cube ARGB,79.9,2000,34,White,240.0
TEAMGROUP SIREN GD240E,90.99,"600,2200","14.3,35.6",Black,240.0
Alphacool Eisbaer 240,119.5,"550,1700",29,Black,240.0
Thermaltake TOUGHLIQUID ARGB,124.98,"500,2000",22.3,Teal,240.0
Geometric Future Eskimo Junior 24,89.9,2000,29,Black,240.0
Thermaltake Floe DX RGB 280 TT Premium Edition,184.35,"500,1400","19.8,26.2",Black / Gray,280.0
Lian Li Galahad AIO240 (2022),174.02,"800,1900",32,White / Silver,240.0
In Win Nebula NR36,140.25,"400,1800",25,Black / White,360.0
Alpenföhn Glacier Water 280,217.32,"500,2000",36.4,Black,280.0
Silverstone IceGem 360,174.51,"600,2200","7.3,36.6",Black,360.0
Enermax LIQMAX III ARGB,75.68,"500,1600","14,27",Black,120.0
Thermaltake Floe Riing RGB 360 TR4 Edition,160.41,"1000,2000","21.8,33",Black,360.0
Thermaltake TOUGHLIQUID ARGB,150.13,"500,2000",33.2,Black,280.0
Silverstone VIDA 120 SLIM,110.7,"300,1800","15.9,33.9",Black,120.0
Alphacool Eisbaer Aurora 280,154.45,"600,1500",,Black,280.0
GAMDIAS CHIONE P2,104.98,"800,1800",,Black,360.0
ENDORFY Navis F240 ARGB,143.32,"250,1800",,Black,240.0
In Win SR24 PRO,64.98,"500,2500",23,Black,240.0
Alpenföhn Glacier Water 240 High Speed,206.18,"500,2200",36.8,Black,240.0
RAIJINTEK Orcus 280 RGW,64.95,"400,1800",28,Black,280.0
RAIJINTEK Orcus 360 RGW,79.99,"400,1800",28,Black,360.0
Enermax Liqfusion 240,87.99,"500,2000","14,28",Black,240.0
Silverstone IceGem 280,151.38,"600,1600","9.8,23.4",Black,280.0
Enermax Liqtech TR4 II 240,159.99,"500,2300","14,28",Black,240.0
RAIJINTEK Orcus 240 RGW,69.99,"400,1800",28,Black,240.0
In Win BR24,100.92,"400,1800",35.5,Black / White,240.0
In Win SR36 PRO,135.44,"500,2500",23,Black,360.0
ENDORFY Navis F280 ARGB,182.0,"250,1800",,Black,280.0
GAMDIAS CHIONE M1,165.99,"600,1200",,Black,280.0
In Win SR24,125.85,"500,2500",23,Black,240.0
In Win BR36,116.55,"400,1800",35.5,Black / White,360.0
